FID IID BirthYear
1 2925 1993
1 2931 1993
1 2933 1993
1 2941 1993
1 2962 1993
1 2964 1993
1 2966 1993
1 2968 1993
1 2970 1993
1 3024 1994
1 3027 1994
1 3033 1994
1 3061 1994
1 3076 1994
1 3088 1994
1 3100 1994
1 3116 1994
1 3121 1994
1 3123 1994
1 3129 1994
1 3140 1994
1 3199 1995
1 3201 1995
1 3202 1995
1 3209 1995
1 3221 1995
1 3222 1995
1 3223 1995
1 3224 1995
1 3227 1995
1 3229 1995
1 3230 1995
1 3234 1995
1 3236 1995
1 3237 1995
1 3242 1995
1 3246 1995
1 3250 1995
1 3253 1995
1 3255 1995
1 3259 1995
1 3260 1995
1 3261 1995
1 3262 1995
1 3263 1995
1 3265 1995
1 3268 1995
1 3270 1995
1 3271 1995
1 3272 1995
1 3275 1995
1 3276 1995
1 3278 1995
1 3279 1995
1 3281 1995
1 3282 1995
1 3287 1995
1 3289 1995
1 3291 1995
1 3292 1995
1 3295 1995
1 3296 1995
1 3300 1995
1 3301 1995
1 3306 1995
1 3308 1995
1 3310 1995
1 3314 1995
1 3316 1995
1 3318 1995
1 3319 1995
1 3320 1995
1 3324 1995
1 3325 1995
1 3327 1995
1 3330 1995
1 3333 1995
1 3336 1995
1 3341 1995
1 3343 1995
1 3346 1995
1 3347 1995
1 3414 1996
1 3419 1996
1 3420 1996
1 3423 1996
1 3428 1996
1 3431 1996
1 3439 1996
1 3442 1996
1 3445 1996
1 3447 1996
1 3469 1996
1 3471 1996
1 3473 1996
1 3477 1996
1 3478 1996
1 3488 1996
1 3490 1996
1 3524 1996
1 3538 1996
1 3545 1996
1 3548 1996
1 3549 1996
1 3552 1996
1 3555 1996
1 3556 1996
1 3563 1996
1 3564 1996
1 3567 1996
1 3568 1996
1 3571 1996
1 3573 1996
1 3577 1996
1 3581 1996
1 3583 1996
1 3589 1996
1 3593 1996
1 3604 1996
1 3606 1996
1 3607 1996
1 3608 1996
1 3610 1996
1 3611 1996
1 3636 1997
1 3641 1997
1 3681 1997
1 3692 1997
1 3700 1997
1 3704 1997
1 3725 1997
1 3734 1997
1 3738 1997
1 3748 1997
1 3759 1997
1 3762 1997
1 3771 1997
1 3796 1997
1 3881 1998
1 3885 1998
1 3945 1998
1 3954 1998
1 3968 1998
1 4004 1998
1 4008 1998
1 4017 1998
1 4051 1998
1 4068 1998
1 4103 1997
1 4120 1998
1 4121 1998
1 4129 1993
1 4131 1996
1 4144 1998
1 4151 1999
1 4153 1999
1 4155 1999
1 4156 1999
1 4157 1999
1 4158 1999
1 4159 1999
1 4161 1999
1 4164 1999
1 4166 1999
1 4168 1999
1 4169 1999
1 4170 1999
1 4172 1999
1 4173 1999
1 4175 1999
1 4176 1999
1 4177 1999
1 4183 1999
1 4184 1999
1 4186 1999
1 4187 1999
1 4189 1999
1 4193 1999
1 4196 1999
1 4197 1999
1 4198 1999
1 4200 1999
1 4205 1999
1 4206 1999
1 4209 1999
1 4210 1999
1 4211 1999
1 4212 1999
1 4213 1999
1 4216 1999
1 4219 1999
1 4220 1999
1 4223 1999
1 4227 1999
1 4229 1999
1 4232 1999
1 4233 1999
1 4234 1999
1 4235 1999
1 4238 1999
1 4239 1999
1 4240 1999
1 4241 1999
1 4242 1999
1 4243 1999
1 4244 1999
1 4245 1999
1 4246 1999
1 4249 1999
1 4251 1999
1 4256 1999
1 4257 1999
1 4258 1999
1 4259 1999
1 4261 1999
1 4266 1999
1 4312 1999
1 4318 1999
1 4321 1998
1 4322 1996
1 4343 2000
1 4353 2000
1 4359 2000
1 4361 2000
1 4377 2000
1 4378 2000
1 4383 2000
1 4385 2000
1 4395 2000
1 4396 2000
1 4398 2000
1 4399 2000
1 4404 2000
1 4407 2000
1 4410 2000
1 4416 2000
1 4420 2000
1 4454 2000
1 4459 2000
1 4460 2000
1 4465 2000
1 4466 2000
1 4468 2000
1 4470 2000
1 4472 2000
1 4473 2000
1 4517 2000
1 4543 1999
1 4546 1997
1 4575 2001
1 4628 2001
1 4635 2001
1 4636 2001
1 4734 2000
1 4744 1999
1 4745 1999
1 5056 2002
1 5059 2002
1 5061 2002
1 5063 2002
1 5069 2002
1 5073 2002
1 5076 2002
1 5077 2002
1 5078 2002
1 5080 2002
1 5083 2002
1 5084 2002
1 5085 2002
1 5087 2002
1 5089 2002
1 5091 2002
1 5092 2002
1 5094 2002
1 5095 2002
1 5096 2002
1 5097 2002
1 5101 2002
1 5102 2002
1 5103 2002
1 5105 2002
1 5107 2002
1 5110 2002
1 5111 2002
1 5112 2002
1 5113 2002
1 5114 2002
1 5116 2002
1 5120 2002
1 5121 2002
1 5122 2002
1 5124 2002
1 5127 2002
1 5129 2002
1 5130 2002
1 5131 2002
1 5132 2002
1 5133 2002
1 5135 2002
1 5138 2002
1 5142 2002
1 5144 2002
1 5145 2002
1 5148 2002
1 5150 2002
1 5152 2002
1 5153 2002
1 5156 2002
1 5157 2002
1 5232 2002
1 5234 2002
1 5242 2002
1 5244 2002
