FID IID CapYear ID
1 2624 1996 2353
1 1691 1992 2353
1 2987 1997 2353
1 3368 1998 2353
1 2352 1995 2353
1 1928 1993 2354
1 1779 1992 2354
1 1765 1992 2355
1 2242 1994 2355
1 1919 1993 2355
1 2185 1994 2356
1 1938 1993 2356
1 3370 1998 2358
1 2324 1994 2358
1 1813 1992 2358
1 2988 1997 2358
1 2088 1993 2358
1 2860 1996 2358
1 2119 1994 2359
1 1788 1992 2359
1 2000 1993 2359
1 2160 1994 2360
1 1800 1992 2360
1 4139 2000 2360
1 4478 2001 2360
1 3513 1998 2361
1 2483 1995 2361
1 2166 1994 2361
1 2110 1994 2362
1 2544 1995 2362
1 2465 1995 2363
1 2017 1993 2363
1 1741 1992 2363
1 2143 1994 2363
1 2848 1996 2363
1 3554 1998 2364
1 2010 1993 2364
1 2466 1995 2364
1 2144 1994 2364
1 1789 1992 2365
1 1996 1993 2365
1 2603 1996 2365
1 2509 1995 2365
1 2120 1994 2365
1 1853 1993 2366
1 2989 1997 2366
1 2353 1995 2366
1 1692 1992 2366
1 2625 1996 2366
1 2201 1994 2366
1 2025 1993 2368
1 2239 1994 2368
1 2627 1996 2368
1 2406 1995 2368
1 2991 1997 2368
1 1764 1992 2368
1 4093 2000 2368
1 2291 1994 2369
1 2540 1995 2369
1 1974 1993 2369
1 1673 1992 2369
1 3514 1998 2369
1 2826 1996 2369
1 2292 1994 2370
1 1803 1992 2370
1 1713 1992 2371
1 1860 1993 2371
1 2271 1994 2371
1 2281 1994 2372
1 1743 1992 2372
1 2718 1996 2373
1 1882 1993 2373
1 2282 1994 2373
1 1746 1992 2373
1 2272 1994 2374
1 2002 1993 2374
1 2499 1995 2375
1 2765 1996 2375
1 2267 1994 2375
1 1954 1993 2339
1 2527 1995 2376
1 1657 1992 2376
1 3179 1997 2376
1 2286 1994 2376
1 3517 1998 2376
1 2766 1996 2376
1 2305 1994 2377
1 2373 1995 2377
1 4423 2001 2377
1 7597 2003 2377
1 2992 1997 2377
1 2050 1993 2377
1 3757 1999 2377
1 4033 2000 2377
1 7125 2002 2377
1 2628 1996 2377
1 3369 1998 2377
1 3152 1997 2378
1 4425 2001 2378
1 3371 1998 2378
1 2861 1996 2378
1 2066 1993 2378
1 2319 1994 2378
1 3759 1999 2379
1 4035 2000 2379
1 2993 1997 2379
1 4623 2001 2379
1 2490 1995 2379
1 2047 1993 2379
1 1785 1992 2379
1 2751 1996 2379
1 1610 1992 2375
1 1891 1993 2393
1 4091 2000 2401
1 3001 1997 2401
1 2618 1996 2409
1 1861 1993 2409
1 2031 1993 2401
1 2349 1995 2409
1 2994 1997 2409
1 3364 1998 2409
1 2198 1994 2409
1 2392 1995 2417
1 2318 1994 2417
1 2887 1996 2417
1 2079 1993 2417
1 3434 1998 2417
1 3365 1998 2421
1 2199 1994 2421
1 1862 1993 2421
1 2996 1997 2421
1 2619 1996 2421
1 2350 1995 2421
1 2029 1993 2431
1 2152 1994 2431
1 2574 1996 2443
1 2464 1995 2447
1 2140 1994 2447
1 2007 1993 2447
1 2500 1995 2459
1 3551 1998 2459
1 2530 1995 2460
1 3511 1998 2460
1 1964 1993 2460
1 3180 1997 2460
1 2554 1996 2460
1 4422 2001 2460
1 3901 1999 2460
1 1888 1993 2462
1 1982 1993 2465
1 4092 2000 2475
1 7274 2002 2475
1 2555 1996 2475
1 3433 1998 2476
1 2759 1996 2476
1 2420 1995 2476
1 3549 1998 2479
1 2528 1995 2479
1 1980 1993 2479
1 2576 1996 2479
1 3900 1999 2479
1 2995 1997 2417
1 2830 1996 2488
1 2520 1995 2488
1 3181 1997 2494
1 3550 1998 2494
1 2760 1996 2494
1 2519 1995 2494
1 4138 2000 2505
1 2109 1994 2505
1 2604 1996 2505
1 2545 1995 2505
1 1889 1993 2517
1 2280 1994 2520
1 2107 1994 2523
1 2620 1996 2523
1 2095 1993 2523
1 2761 1996 2532
1 2997 1997 2534
1 2621 1996 2534
1 3367 1998 2534
1 2301 1994 2534
1 2082 1993 2534
1 2733 1996 2536
1 2998 1997 2536
1 2393 1995 2536
1 3362 1998 2536
1 1890 1993 2536
1 2235 1994 2536
1 2141 1994 2540
1 2875 1996 2540
1 2999 1997 2540
1 2065 1993 2540
1 3000 1997 2545
1 3366 1998 2545
1 2311 1994 2545
1 2371 1995 2545
1 2061 1993 2545
1 2622 1996 2545
1 4090 2000 2549
1 2293 1994 2569
1 2290 1994 2487
1 2153 1994 2571
1 2549 1995 2571
1 2030 1993 2571
1 2599 1996 2571
1 2372 1995 2572
1 3363 1998 2572
1 2708 1996 2572
1 1840 1993 2572
1 3002 1997 2572
1 2184 1994 2572
1 3510 1998 2571
1 2233 1994 2597
1 3016 1997 2597
1 3354 1998 2597
1 2884 1996 2597
1 7123 2002 2597
1 7595 2003 2597
1 4420 2001 2597
1 2279 1994 2600
1 3003 1997 2601
1 3361 1998 2601
1 2195 1994 2601
1 2608 1996 2601
1 2377 1995 2601
1 2253 1994 2605
1 2856 1996 2606
1 3004 1997 2606
1 3751 1999 2597
1 2182 1994 2606
1 3182 1997 2607
1 2432 1995 2607
1 2752 1996 2607
1 4563 2001 2607
1 2753 1996 2610
1 3005 1997 2610
1 3006 1997 2611
1 2609 1996 2611
1 3546 1998 2612
1 2800 1996 2612
1 3240 1997 2612
1 2343 1995 2606
1 2230 1994 2614
1 2231 1994 2617
1 2344 1995 2617
1 2610 1996 2617
1 3357 1998 2617
1 3008 1997 2617
1 3548 1998 2623
1 3183 1997 2623
1 2754 1996 2623
1 2487 1995 2623
1 2802 1996 2624
1 2254 1994 2624
1 3009 1997 2624
1 4089 2000 2627
1 2551 1996 2627
1 7130 2002 2627
1 2611 1996 2631
1 2345 1995 2631
1 2322 1994 2631
1 2552 1996 2632
1 2297 1994 2635
1 2365 1995 2637
1 2612 1996 2637
1 3359 1998 2637
1 2183 1994 2637
1 2136 1994 2640
1 8257 2004 2640
1 4476 2001 2640
1 3506 1998 2640
1 3241 1997 2640
1 2810 1996 2641
1 2446 1995 2641
1 3010 1997 2641
1 2158 1994 2644
1 2547 1995 2644
1 3753 1999 2645
1 4031 2000 2645
1 2294 1994 2645
1 3011 1997 2645
1 3007 1997 2614
1 2302 1994 2648
1 2298 1994 2650
1 3012 1997 2651
1 2613 1996 2653
1 2232 1994 2658
1 3013 1997 2658
1 2346 1995 2658
1 2614 1996 2658
1 2553 1996 2659
1 3899 1999 2659
1 2299 1994 2661
1 2858 1996 2661
1 3014 1997 2661
1 2479 1995 2666
1 2159 1994 2666
1 2488 1995 2668
1 3897 1999 2668
1 3508 1998 2668
1 2755 1996 2668
1 2316 1994 2671
1 4576 2001 2673
1 2347 1995 2673
1 3825 1999 2673
1 2317 1994 2673
1 3356 1998 2673
1 3015 1997 2673
1 2615 1996 2673
1 2137 1994 2674
1 2138 1994 2677
1 2278 1994 2680
1 2919 1996 2681
1 2139 1994 2681
1 3547 1998 2683
1 4419 2001 2683
1 2270 1994 2683
1 2857 1996 2645
1 2874 1996 2685
1 2404 1995 2685
1 3017 1997 2686
1 2876 1996 2686
1 2246 1994 2686
1 2413 1995 2686
1 2457 1995 2688
1 2710 1996 2688
